Method,Dataset,q4x,lamg,cdeep,cmix,gamma_2l,eff,tau0,tau1,a0,a1,q2x,co2_beta,ecs,tcr
ar6,ACCESS-CM2,7.733056854805012,0.6994882798646815,93.23003992466708,8.705751044827323,0.5429052944168767,1.4967678840317522,5.653976830205117,378.0102449093341,0.44599850371231115,0.5540014962876891,3.6809350628871855,,5.262325572630431,2.409353055677347
ar6,ACCESS-ESM1-5,6.745165698079507,0.7126599610240836,95.36197555787835,8.381012066669497,0.6194270717767029,1.604318746287614,4.820713075194809,375.56739360347683,0.4022455123271759,0.597754487672824,3.210698872285845,,4.505232576377815,1.9218012134457847
ar6,AWI-CM-1-1-MR,8.168461329322106,1.2093349770646578,56.49395628396804,8.200244183835153,0.47505200285541604,1.448387693987997,4.264331378718599,189.09936081229816,0.6203223181106863,0.3796776818893137,3.888187592757322,,3.215145238083557,2.071937961168478
ar6,BCC-CSM2-MR,7.2170105847155135,1.1439307522997344,64.57353599000112,5.936500317224712,0.8723550893853421,1.3037078405425508,2.556726444655551,150.24767703099408,0.48388442704976875,0.5161155729502311,3.435297038324584,,3.0030638055829297,1.709459389441404
ar6,BCC-ESM1,6.4882407320336775,0.8921943750288512,97.66258452984253,8.695825523822018,0.5299325142639777,1.36848857714097,5.305894523553058,338.53250175453064,0.5371317753780109,0.462868224621989,3.08840258844803,,3.461580430103204,1.871806161602821
ar6,CAMS-CSM1-0,9.076223122848464,1.9175558727408721,56.972380418485336,9.752138356983648,0.47865874303080286,1.283455641760749,3.820968322170601,158.42246242515867,0.7451679655676676,0.25483203443233243,4.320282206475869,,2.2530150322559535,1.6963812447686473
ar6,CESM2,8.4783623024525,0.6588861436044366,75.9098225349569,8.412395239198508,0.6683088389980077,1.7714651640906776,4.448580451750854,325.99325655618395,0.33941275468364146,0.6605872453163587,4.0357004559673895,,6.125034643906897,2.349241346397014
ar6,CESM2-FV2,7.707721014470841,0.5815142889034944,92.72710251834559,7.417002998821922,0.7107195329691086,1.768260699769118,3.950483089988087,421.2367901582523,0.3031943452328933,0.6968056547671062,3.66887520288812,,6.309174637490275,2.1486977855315534
ar6,CESM2-WACCM,7.856972300844,0.7058138383370778,89.66997071277409,8.293803940665377,0.7001550303301475,1.525304060263816,4.573833998999515,329.03038971693275,0.3806295718993111,0.619370428100689,3.7399188152017437,,5.298732629007564,2.208569121897167
ar6,CESM2-WACCM-FV2,7.011729004608327,0.6016808519364495,112.09726978029329,8.170170809228082,0.7049349510802102,1.5011937143372782,4.825727268022555,447.45376166071253,0.34835607452730666,0.6516439254726931,3.3375830061935634,,5.547098591307813,2.065826121714181
ar6,CNRM-CM6-1,7.305305051384967,0.7512218451577419,145.22514470930307,7.586284279968561,0.508941042007948,0.9899316890599191,5.993049027928447,480.8254171933536,0.5883226333402131,0.4116773666597869,3.477325204459244,,4.628892552677397,2.6206032304345928
ar6,CNRM-CM6-1-HR,7.523271850777991,0.9405697941000795,96.37019686903047,8.409643635662576,0.5480701357931236,0.7495001306060569,6.155275608327989,255.41457107445046,0.6807378767755281,0.3192621232244718,3.5810774009703237,,3.807348931927625,2.514460599555212
ar6,CNRM-ESM2-1,5.79740017780529,0.6337400046026365,97.0197909801108,7.4684085642284845,0.6044358594580296,0.9031085343769031,6.215387279156035,304.33987912237495,0.5175608859095825,0.4824391140904178,2.759562484635318,,4.354407903230917,2.275673140336184
ar6,CanESM5,7.467505629274833,0.6461368533527884,80.72320438077921,8.232829676559428,0.5251952983117915,1.0647785063254946,6.689019250225244,292.7788740578897,0.513867536446008,0.48613246355399203,3.5545326795348204,,5.501207153082876,2.8498028008374896
ar6,E3SM-1-0,7.396111590692042,0.629308222153523,43.9035825378213,8.393028870785855,0.36343402276094045,1.455884915320799,7.045866216529164,228.66268419350618,0.5133013170749823,0.48669868292501745,3.520549117169412,,5.594316097002394,2.95677866983321
ar6,FGOALS-f3-L,9.840465121129185,1.5014789590624646,79.34939994253288,8.988944332183726,0.5912672112886826,1.6239606910460092,3.6125769577034936,222.39866899501888,0.5968829575149573,0.4031170424850423,4.684061397657492,,3.1196317266958284,1.9433925294956407
ar6,FGOALS-g3,7.972358832030283,1.2837794914052925,98.48689641899465,8.132895614022823,0.642433856176221,1.3730405945943303,3.7174050932715645,261.2551780109908,0.5808288767921562,0.4191711232078438,3.7948428040464144,,2.9559926992542778,1.7767412543353613
ar6,GFDL-CM4,7.658725737387499,0.822550370089286,94.13658550582579,7.533980888689017,0.5824588556839432,1.6437806451473072,4.173114186322078,354.72756105635494,0.4491347211604706,0.5508652788395292,3.6455534509964496,,4.432012413538557,2.096094809163312
ar6,GFDL-ESM4,7.450284032132643,1.4601916330738651,148.06524660966357,8.374525585970233,0.5468509797992929,0.85865181742755,4.322638742215925,359.2407184990144,0.7507003684980084,0.24929963150199158,3.546335199295138,,2.428677934436393,1.7651603935453737
ar6,GISS-E2-1-G,8.292051900777901,1.4998866713607533,140.88530335935357,7.536209375177306,0.8384504988670859,1.105270620707288,3.0836486118284285,273.7901946362848,0.6093199800266759,0.3906800199733244,3.947016704770281,,2.6315432893269195,1.6528404271848431
ar6,GISS-E2-1-H,7.300776792291273,1.140782299391422,84.25296739579352,8.63625245636574,0.6219105436433361,1.121011424353134,4.6365237086820335,221.20113769909926,0.6041517558404406,0.3958482441595599,3.475169753130646,,3.046304062558263,1.8893538576817064
ar6,GISS-E2-2-G,7.19266907038097,1.6424474110351466,411.8476390215087,8.893609582789411,0.5301290044190868,0.6517049423215746,4.469298439037874,941.2440558201865,0.8245446580314283,0.17545534196857157,3.4237104775013414,,2.0845175647624297,1.621710599861394
ar6,HadGEM3-GC31-LL,7.370973410797357,0.6243954167085388,76.42304288432346,7.962855233077764,0.5162064963094688,1.1869479541956667,6.298087504957294,299.77905296979367,0.48299329370206806,0.5170067062979324,3.508583343539542,,5.619168958726216,2.7814932956326457
ar6,HadGEM3-GC31-MM,7.103401564862109,0.6528308539055594,71.4228512958561,8.242753153132725,0.5939743648820921,0.9979139743775425,6.44403143907164,235.60443093923598,0.4966025919864709,0.5033974080135292,3.381219144874364,,5.179318845986256,2.68424015680636
ar6,IITM-ESM,9.436748564103414,1.9428468977915183,174.1064072971145,9.335789172246878,0.6991924862157932,1.1483512834659142,3.3864152713363276,353.33791722922984,0.7018809145768701,0.29811908542313004,4.491892316513225,,2.3120155899156383,1.6075626186718486
ar6,INM-CM5-0,6.377652802691486,1.6135583156369633,47.65112684915308,8.638405942736668,0.4803782364175059,1.302261810309948,3.8152802380921402,139.1913835822198,0.7045537093272746,0.29544629067272515,3.035762734081147,,1.8814087502519292,1.3714785881200156
ar6,IPSL-CM6A-LR,7.81210956315692,0.6910367205687997,94.989297555247,7.995290872122158,0.39178974387210913,1.5756369839666577,6.0381827046730026,464.5671591473817,0.5155868183512117,0.4844131816487882,3.7185641520626938,,5.381138283074022,2.7199787775685524
ar6,MIROC-ES2L,8.16784917209042,1.5578865297904358,177.43373834349367,10.588283992149268,0.6820571304602421,0.9487913001272714,4.775696091176121,370.22737360903864,0.6987771552241335,0.3012228447758665,3.88789620591504,,2.495622198131486,1.690816919478695
ar6,MIROC6,7.884621878926497,1.423914128791142,205.67930808205358,9.166116771953874,0.6198239665199777,1.262313201187132,4.135958967058118,516.4729762227357,0.6396162403553582,0.3603837596446418,3.7530800143690124,,2.635748840806333,1.6470463315157422
ar6,MPI-ESM1-2-HR,8.183147084280971,1.2712673120306737,92.63374598625425,8.413201455919774,0.637576885211629,1.3960038584142849,3.8494646489909536,249.78176808406658,0.5751210702567998,0.4248789297432002,3.8951780121177424,,3.0640117741214743,1.8305696158760827
ar6,MRI-ESM2-0,8.295756724669461,1.2000573477920748,98.19686123837583,8.478459387758491,0.8559094919985023,1.4766255506175745,3.3881644649558633,239.23252498215564,0.47209068430057083,0.5279093156994291,3.9487802009426636,,3.2904929153659412,1.7079018327947673
ar6,NorESM2-LM,9.53207150702561,0.9264454330169747,145.05241506795974,5.604629223040193,0.8196960371501171,3.074718557859405,1.6151687922886344,662.7981018142708,0.2651968279475173,0.7348031720524837,4.53726603734419,,4.897499491760198,1.4513455068770016
ar6,NorESM2-MM,8.902344737930921,1.5433414159462666,121.29490668694183,6.153316481410074,0.7685121251239503,1.6912701427300407,2.150712768386853,292.5881070458909,0.5360195362124686,0.46398046378753177,4.237516095255118,,2.7456763950424903,1.5665985641866507
ar6,SAM0-UNICON,8.046759001106924,1.0336178803666725,100.4856361676492,6.576330608681177,0.8073632192113122,1.1362081671503037,3.3278465409303264,237.95528738926964,0.51628083914146,0.48371916085854,3.830257284526896,,3.7056801718330616,2.0603170393165193
ar6,UKESM1-0-LL,7.476424076122564,0.6632836902278628,76.55368258282894,7.740971906710853,0.531698336069874,1.1347611692672963,5.987688783312932,280.63235418558276,0.5024377677249805,0.4975622322750199,3.5587778602343403,,5.365393288973782,2.769603797852251
s21,ACCESS-CM2,7.6581,0.6877,97.4564,8.8173,0.5277,1.4939,5.870710928434991,403.3380248673612,0.4498753245690711,0.550124675430929,3.6452556,,5.3006479569579765,2.4215869328373665
s21,ACCESS-ESM1-5,6.9731,0.7214,96.7855,9.0163,0.6054,1.7062,5.042740606689591,396.2355776702559,0.39578330272914825,0.6042166972708518,3.3191955999999996,,4.601047407818131,1.9198548768746433
s21,AWI-CM-1-1-MR,8.408,1.2981,54.6985,8.1684,0.4933,1.3012,4.156981845572924,167.8475553398311,0.6519975206703722,0.34800247932962775,4.0022079999999995,,3.0831276481010703,2.085027587311829
s21,BCC-CSM2-MR,6.887,1.0601,73.6879,8.513,0.6415,1.3189,4.388634312282317,210.18703497135482,0.5368335561594687,0.463166443840531,3.2782119999999995,,3.0923610980096212,1.7686579879940392
s21,BCC-ESM1,6.6794,0.935,91.7194,8.4652,0.5821,1.3315,4.879540226478272,292.35485847619054,0.53113031834994,0.4688696816500601,3.1793944,,3.400421818181818,1.8552752487342554
s21,CAMS-CSM1-0,8.8829,1.8751,62.4085,10.0141,0.5306,1.3362,3.83974138010432,163.5919822096596,0.7122215722189772,0.2877784277810228,4.2282604,,2.2549519492293744,1.6379741532770522
s21,CAS-ESM2-0,7.1346,0.9282,72.8257,7.572,0.4498,1.4289,4.761090732866276,277.41363299925,0.5763590372151141,0.4236409627848864,3.3960695999999997,,3.6587692307692303,2.143930454536788
s21,CESM2-FV2,7.9362,0.5592,91.0971,7.9625,0.6983,1.9094,4.11298959456013,451.6345744961542,0.282316092761472,0.7176839072385286,3.7776312,,6.755420600858369,2.149955049444481
s21,CESM2-WACCM-FV2,7.1276,0.5936,111.7078,7.6034,0.7052,1.5395,4.444877193442829,456.4838055857539,0.34059227082136645,0.6594077291786334,3.3927376,,5.715528301886792,2.0959360298529304
s21,CESM2-WACCM,8.2798,0.7344,84.8563,8.7183,0.7154,1.6252,4.487526858990647,313.7814282437964,0.3689896733473615,0.6310103266526389,3.9411848,,5.366537037037037,2.2021847870223565
s21,CESM2,8.8426,0.7186,70.6435,8.3262,0.6368,1.7328,4.456725674564408,288.41170129153517,0.37498345843894276,0.6250165415610568,4.2090776,,5.8573303645978285,2.464452015437462
s21,CNRM-CM6-1-HR,7.5314,0.9427,90.4329,8.07,0.5783,0.7508,5.79082257271441,231.17083129058503,0.6681440744310994,0.3318559255689006,3.5849463999999998,,3.802849687069057,2.5020358679144468
s21,CNRM-CM6-1,7.5059,0.7697,121.1397,7.0516,0.5555,1.0262,5.2091143552844725,383.53475208798716,0.5626479723846857,0.4373520276153149,3.5728083999999996,,4.641819410159802,2.5901008211371956
s21,CNRM-ESM2-1,5.7027,0.6321,94.9424,7.4793,0.6149,0.8652,6.302333512112785,289.8875034575621,0.5222440188704394,0.4777559811295608,2.7144852,,4.294392026578073,2.2677173734740843
s21,CanESM5,7.6149,0.6585,78.829,7.8567,0.5393,1.0895,6.176690917959809,282.3476115663061,0.5069049878839047,0.4930950121160953,3.6246924,,5.504468337129841,2.851748128327046
s21,E3SM-1-0,7.4155,0.6381,43.7681,8.4253,0.3554,1.4099,7.199328114709756,225.86291683222,0.5302772750902868,0.4697227249097129,3.529778,,5.531700360445071,2.9926886135275454
s21,EC-Earth3-Veg,7.814,0.855,38.537,8.1248,0.4501,1.419,5.290423239892583,153.7889164527813,0.5409369914180095,0.45906300858199045,3.719464,,4.350250292397661,2.5655799574778637
s21,EC-Earth3,7.366,0.8228,38.4105,8.4572,0.4758,1.4261,5.454475625473972,152.126486717073,0.5132115594309927,0.4867884405690071,3.5062159999999998,,4.261322314049587,2.4257587357109416
s21,FGOALS-f3-L,9.5356,1.4323,87.9782,9.2896,0.5308,1.6309,4.005142167303582,268.4041606731434,0.6117317652844708,0.38826823471552907,4.5389456,,3.168990853871396,1.973821856830392
s21,FGOALS-g3,7.8715,1.2821,112.6519,8.2065,0.667,1.2961,3.788023991122782,285.3882180795547,0.5863113121838952,0.4136886878161051,3.7468339999999998,,2.9224194680602134,1.7565160797516381
s21,GFDL-CM4,8.4511,0.8888,96.5422,7.3637,0.576,1.8493,3.7224407610264776,373.0430503680863,0.44374871341312716,0.5562512865868727,4.0227236,,4.5260166516651665,2.1221816740678805
s21,GFDL-ESM4,7.3355,1.2741,129.9377,8.4389,0.6039,1.2271,4.157611696786998,342.774530583832,0.6231426787640477,0.37685732123595206,3.4916979999999995,,2.740521152185856,1.7039939578939602
s21,GISS-E2-1-G,8.1084,1.4609,145.0303,6.523,0.8499,1.0884,2.716900897874819,280.4426151038168,0.6046507349705519,0.39534926502944784,3.8595983999999994,,2.641931959750838,1.6547598319245858
s21,GISS-E2-1-H,7.5798,1.1675,83.361,8.7592,0.6339,1.2106,4.46472229159414,220.98116908778363,0.5867464057639977,0.4132535942360023,3.6079847999999997,,3.0903510064239827,1.8787446837705633
s21,GISS-E2-2-G,7.2482,1.6284,293.0528,8.6302,0.5667,0.7175,4.2338860396743945,647.3114140317549,0.7975518856104508,0.20244811438954907,3.4501432,,2.118732006877917,1.6093688007551437
s21,HadGEM3-GC31-LL,7.457,0.6236,78.1119,8.0742,0.5066,1.2269,6.348451880318589,314.468812347734,0.47981269248704916,0.5201873075129512,3.5495319999999997,,5.692001282873636,2.7872197863956774
s21,HadGEM3-GC31-MM,7.3703,0.6665,70.7538,7.8493,0.606,1.0723,5.812745271070159,236.55200220896816,0.48081415250177306,0.5191858474982267,3.5082628,,5.2637101275318825,2.685317655958811
